,Listing_AB_Date,Listing_BC_Date,Listing_SK_Date,Listing_MB_Date,Listing_ON_Date,Listing_NB_Date,Listing_NS_Date,Listing_PEI_Date,Listing_NL_Date,Listing_QC_Date,pCPA_to_Listing_BC_Date,pCPA_to_Listing_AB_Date,pCPA_to_Listing_SK_Date,pCPA_to_Listing_MB_Date,pCPA_to_Listing_ON_Date,pCPA_to_Listing_NB_Date,pCPA_to_Listing_NS_Date,pCPA_to_Listing_PEI_Date,pCPA_to_Listing_NL_Date,pCPA_to_Listing_QC_Date,Oncology,NAS,Rare_Disease_(FDA_or_EMA)
504,2020-06-01,2020-08-19,2020-07-01,2020-07-16,2020-05-11,2020-06-18,2020-07-06,2021-11-22,2021-03-01,2020-04-29,126.0,47.0,77.0,92.0,26.0,64.0,82.0,586.0,320.0,14.0,N,Y,Y
506,2018-05-01,2018-01-23,2018-04-01,2018-04-19,2018-04-09,2018-07-18,2019-02-01,,2019-03-04,2019-05-23,42.0,140.0,110.0,128.0,118.0,218.0,416.0,,447.0,527.0,N,Y,Y
508,2023-02-01,,,,2023-02-27,,,,,2022-11-09,,106.0,,,132.0,,,,,22.0,N,Y,Y
509,,,,,2023-02-27,,,,,2022-11-09,,,,,132.0,,,,,22.0,N,Y,Y
512,2019-01-01,2018-08-21,2019-04-01,2018-10-18,2018-09-27,2019-02-07,2019-09-01,2018-11-26,2018-12-01,2018-09-27,25.0,158.0,248.0,83.0,62.0,195.0,401.0,122.0,127.0,62.0,N,N,N
514,2018-06-01,2018-12-18,2018-07-01,2018-01-25,2018-04-30,2018-07-18,2019-05-01,2022-02-28,2020-02-14,2018-02-01,421.0,221.0,251.0,94.0,189.0,268.0,555.0,1589.0,844.0,101.0,N,Y,N
518,2019-01-01,,,2019-01-24,2018-12-12,2019-07-04,2019-08-01,,,,,147.0,,170.0,127.0,331.0,359.0,,,,N,Y,Y
519,2021-05-01,,2021-05-01,2021-04-01,2021-04-06,2021-04-22,2021-05-01,,2021-10-27,,,185.0,185.0,155.0,160.0,176.0,185.0,,364.0,,N,N,Y
521,2016-10-18,2017-04-01,2016-10-27,2017-04-20,2017-03-14,2016-12-21,2016-12-01,2022-07-11,2016-12-31,2018-07-05,199.0,34.0,43.0,218.0,181.0,98.0,78.0,2126.0,108.0,659.0,Y,N,Y
522,2020-12-31,2021-02-01,2020-09-01,2020-10-22,2022-06-30,2021-05-13,2021-05-31,,,,236.0,204.0,83.0,134.0,750.0,337.0,355.0,,,,Y,N,Y
524,2019-04-01,2019-12-17,2019-06-01,2019-05-31,2019-04-30,2019-05-16,2022-08-18,2019-03-25,2019-05-01,,368.0,108.0,169.0,168.0,137.0,153.0,1343.0,101.0,138.0,,N,Y,N
525,2022-10-01,,2022-10-01,,2022-10-31,2022-11-21,2023-03-01,,2023-01-23,2022-09-28,,54.0,54.0,,84.0,105.0,205.0,,168.0,51.0,N,Y,N
526,2022-10-01,,2022-10-01,,2022-11-16,2022-11-21,2023-03-01,,2023-01-23,2022-09-28,,54.0,54.0,,100.0,105.0,205.0,,168.0,51.0,N,N,N
534,2021-11-30,2022-04-01,2021-11-01,2021-11-25,2022-01-31,2021-10-14,2021-11-30,2022-12-12,2022-05-24,2021-08-18,269.0,147.0,118.0,142.0,209.0,100.0,147.0,524.0,322.0,43.0,Y,N,Y
540,2019-01-29,2018-12-01,2018-11-01,2018-10-18,2018-10-11,2019-06-24,2019-09-03,2020-04-01,2019-12-19,2018-08-16,149.0,208.0,119.0,105.0,98.0,354.0,425.0,636.0,532.0,42.0,Y,Y,Y
550,2022-12-01,,2023-02-01,2023-01-24,2022-12-21,2023-01-30,2023-02-01,2023-02-20,2023-01-04,,,24.0,86.0,78.0,44.0,84.0,86.0,105.0,58.0,,N,,N
552,,,2019-06-01,2019-05-31,2019-04-30,2019-06-24,2019-05-01,2019-03-25,2019-05-01,2019-02-01,,,169.0,168.0,137.0,192.0,138.0,101.0,138.0,49.0,N,Y,N
553,2015-12-01,2015-10-27,2015-10-01,2015-10-22,2015-10-29,2015-11-24,2016-02-01,2015-11-23,2015-10-01,2015-10-01,61.0,96.0,35.0,56.0,63.0,89.0,158.0,88.0,35.0,35.0,N,N,N
554,,,2016-09-01,2014-10-16,,,,,,2014-06-02,,,135.0,-551.0,,,,,,-687.0,N,N,N
555,2017-05-01,,2016-09-01,2017-04-20,2016-09-16,2017-05-29,2017-02-01,,2017-04-12,,,262.0,20.0,251.0,35.0,290.0,173.0,,243.0,,N,N,N
557,2020-02-01,2020-05-05,2020-02-01,2020-03-02,2020-01-31,2020-03-19,2020-02-06,2021-02-22,2020-09-16,2020-02-05,159.0,65.0,65.0,95.0,64.0,112.0,70.0,452.0,293.0,69.0,N,Y,N
560,,,2021-01-01,2021-08-05,2019-12-20,,,,2022-05-03,,,,407.0,623.0,29.0,,,,894.0,,N,N,N
563,,2017-11-20,,,2015-02-01,,,,,,643.0,,,,-380.0,,,,,,N,N,Y
568,2018-12-01,,2019-05-01,2019-01-24,2018-11-20,2019-02-07,2019-09-01,,,2018-12-18,,66.0,217.0,120.0,55.0,134.0,340.0,,,83.0,N,Y,Y
569,,2019-07-01,,,2019-06-12,2019-08-26,2022-11-01,2022-03-28,2020-02-14,2018-12-18,5.0,,,,-14.0,61.0,1224.0,1006.0,233.0,-190.0,N,Y,Y
571,2016-05-01,2020-07-07,2016-05-01,2016-07-21,2016-03-30,2016-04-12,2016-05-01,2016-04-25,2016-07-01,2016-05-04,1588.0,60.0,60.0,141.0,28.0,41.0,60.0,54.0,121.0,63.0,N,N,N
574,,,2015-10-01,,,2019-03-27,,,,2014-10-01,,,,,,,,,,,N,N,N
575,,,2018-08-01,,,,,,,,,,-240.0,,,,,,,,N,N,N
577,2019-11-18,2019-07-01,2019-09-03,2020-03-02,2020-09-30,2019-11-07,2019-11-01,,,2019-04-11,116.0,256.0,180.0,361.0,573.0,245.0,239.0,,,35.0,Y,N,Y
583,2018-03-01,,,,2018-06-06,2020-01-29,2020-09-10,,,,,51.0,,,148.0,750.0,975.0,,,,N,Y,Y
585,2020-06-01,2020-04-30,2020-07-01,2020-07-16,2021-04-30,2020-05-21,2020-06-03,2021-07-26,2020-06-15,2020-04-29,22.0,54.0,84.0,99.0,387.0,43.0,56.0,474.0,68.0,21.0,N,N,N
586,2017-04-01,2017-03-21,2017-04-01,,2017-02-28,2017-03-29,2017-05-01,,2017-09-01,2008-06-01,32.0,43.0,43.0,,11.0,40.0,73.0,,196.0,-3183.0,N,Y,N
587,2018-01-01,2016-12-01,2017-08-02,2016-12-05,2016-12-22,2017-07-10,2020-02-01,,2020-02-01,,62.0,458.0,306.0,66.0,83.0,283.0,1219.0,,1219.0,,Y,Y,Y
589,2019-01-01,2019-05-27,2019-01-01,2019-05-31,2018-10-31,2019-02-27,2019-01-01,2019-08-01,2019-10-22,2018-09-27,258.0,112.0,112.0,262.0,50.0,169.0,112.0,324.0,406.0,16.0,N,N,N
590,2015-03-30,2014-12-01,2014-09-15,2014-10-16,2014-08-19,2014-10-03,2016-09-01,2018-10-29,2014-08-01,2014-02-03,159.0,278.0,82.0,113.0,55.0,100.0,799.0,1587.0,37.0,-142.0,Y,Y,Y
591,2016-10-18,2016-08-01,2016-08-08,2016-07-21,2016-08-10,2017-03-13,2016-09-01,2018-10-29,2017-02-01,2016-07-15,68.0,146.0,75.0,57.0,77.0,292.0,99.0,887.0,252.0,51.0,Y,N,Y
593,2020-04-10,2020-11-01,2020-01-01,2020-03-02,2020-01-07,2020-04-23,2020-04-23,2022-01-10,2021-08-11,2019-10-02,429.0,224.0,124.0,185.0,130.0,237.0,237.0,864.0,712.0,33.0,Y,N,Y
595,2018-11-20,2018-10-01,2018-11-01,2018-10-18,2018-10-03,2019-02-27,2019-11-01,2020-04-01,2020-02-20,2018-11-15,63.0,113.0,94.0,80.0,65.0,212.0,459.0,611.0,570.0,108.0,Y,Y,Y
596,2020-04-10,2020-01-01,2020-03-01,2020-04-02,2020-01-10,2020-03-19,2020-05-01,2022-02-14,2020-02-20,2019-12-18,43.0,143.0,103.0,135.0,52.0,121.0,164.0,818.0,93.0,29.0,Y,N,Y
597,2023-01-31,2023-02-01,2023-02-01,,2022-12-31,2023-02-27,2023-03-01,,,2022-11-09,117.0,116.0,117.0,,85.0,143.0,145.0,,,33.0,Y,N,Y
598,2021-05-01,2021-03-04,2021-05-01,2021-04-01,2021-02-12,2021-01-27,2021-08-01,2023-02-20,2021-03-17,,125.0,183.0,183.0,153.0,105.0,89.0,275.0,843.0,138.0,,N,Y,Y
599,2018-06-01,2018-03-06,2018-04-01,2018-04-19,2018-03-29,2018-05-08,2019-02-01,2018-05-28,2018-03-15,2018-03-01,67.0,154.0,93.0,111.0,90.0,130.0,399.0,150.0,76.0,62.0,N,Y,N
